state,commodity,avg_temperature_C,avg_rainfall_mm,avg_humidity_%,month
Assam,Black Gram (Urd Beans),21.922241862016428,1190.1590957513208,44.67159095485239,January
Assam,Black Gram (Urd Beans),23.57792044627832,1102.2632138541048,48.129212669356654,February
Assam,Black Gram (Urd Beans),20.20918812796513,1101.8055857152756,46.22547277001454,March
Assam,Black Gram (Urd Beans),22.27273609567348,1126.4943195309763,44.18640311076968,April
Assam,Black Gram (Urd Beans),22.950145699302702,1137.6262405262737,44.044630144689165,May
Assam,Black Gram (Urd Beans),23.226517250884022,1118.695124938923,51.864000925781,June
Assam,Black Gram (Urd Beans),22.92344956069732,1175.4598534180204,52.43388789889771,July
Assam,Black Gram (Urd Beans),21.70401228909749,1075.9038730703924,44.294124091289866,August
Assam,Black Gram (Urd Beans),21.584713861303094,1221.8287218123853,46.29289022925731,September
Assam,Black Gram (Urd Beans),20.773872500766313,1201.6265205245973,43.4612596500619,October
Assam,Black Gram (Urd Beans),21.36957935449875,1160.7891596171205,51.715550143807015,November
Assam,Black Gram (Urd Beans),22.984773996344003,1155.0276501544022,44.350787346271275,December
Assam,Corriander seed,29.84329257907788,1454.4762117713608,44.21876302777914,January
Assam,Corriander seed,32.19133953675172,1517.8835583275786,49.00422557250249,February
Assam,Corriander seed,31.6449125020303,1519.382536671787,44.15382849595071,March
Assam,Corriander seed,31.172409399334313,1594.9112020312116,52.25955748728043,April
Assam,Corriander seed,29.64968525441917,1464.1890825709502,47.344947331603734,May
Assam,Corriander seed,31.646590029813172,1537.3087423408335,45.51057065707785,June
Assam,Corriander seed,29.855513994945596,1409.6360984982791,51.18216696567583,July
Assam,Corriander seed,29.384161424081256,1502.3715160402191,51.89879230208278,August
Assam,Corriander seed,29.113827634226595,1448.9312194592442,51.13403881952042,September
Assam,Corriander seed,28.356147284984257,1473.0070740477313,44.56979743587467,October
Assam,Corriander seed,30.111429704233455,1495.971882001622,48.09443968077518,November
Assam,Corriander seed,28.937132919431203,1506.659994573563,45.94859217930907,December
Assam,Jute,24.338084739913263,2435.439919793928,89.58938457908812,January
Assam,Jute,22.37620058103367,2283.236941203242,94.71181186286903,February
Assam,Jute,23.155095084280617,2297.3051754095472,88.55791593781338,March
Assam,Jute,24.12811173175658,2264.8705934812015,94.07231805188022,April
Assam,Jute,23.471896719894737,2444.559476016452,91.03762259320443,May
Assam,Jute,24.98289311493822,2377.907718971197,94.41808233012785,June
Assam,Jute,22.370306561938484,2284.3769324360273,93.13485577125074,July
Assam,Jute,23.57717351782614,2329.0806282449994,85.9613939001199,August
Assam,Jute,26.04046457165193,2333.614173140368,87.78061379695829,September
Assam,Jute,23.9548991840173,2269.1045028237936,94.56679548470679,October
Assam,Jute,25.97743081368669,2273.709004090343,90.29012698048841,November
Assam,Jute,26.00198445288555,2398.25461232722,92.86126938252785,December
Assam,Lentil(Masur),36.74895752643176,1473.1202688281396,65.4518314434258,January
Assam,Lentil(Masur),33.454238846862566,1565.3827875058416,57.433562645303454,February
Assam,Lentil(Masur),36.35548772580146,1489.7959710762239,64.85498837691375,March
Assam,Lentil(Masur),35.919198337415494,1465.3207150184974,62.041515436740895,April
Assam,Lentil(Masur),34.15449391583526,1556.694999083289,65.84106335587128,May
Assam,Lentil(Masur),35.98753378368757,1620.3353337965077,65.94375687253192,June
Assam,Lentil(Masur),35.609289067110566,1601.906369046438,61.1326506343608,July
Assam,Lentil(Masur),34.5491008113516,1461.3147204706233,61.591296453329946,August
Assam,Lentil(Masur),34.49421208338434,1501.2068669990458,63.988660170267835,September
Assam,Lentil(Masur),33.09918950630083,1622.554525536766,60.807985147787875,October
Assam,Lentil(Masur),36.42157873480514,1599.9090896060231,59.519125562009535,November
Assam,Lentil(Masur),36.0689758867008,1620.8628592084365,57.29819746024955,December
Assam,Mustard,25.56298758557595,904.1177638239021,41.86619264681227,January
Assam,Mustard,26.56646997851221,936.2946569894308,37.13747878491654,February
Assam,Mustard,26.994055988013663,939.617304847461,44.92449661458864,March
Assam,Mustard,25.639445042517988,959.9280917740041,37.76136690958036,April
Assam,Mustard,24.797265026563636,861.6411187970243,42.053099022117806,May
Assam,Mustard,26.745355050962388,913.4389764112109,37.68778605238152,June
Assam,Mustard,27.18069225856466,993.0264644717015,39.92523573588899,July
Assam,Mustard,25.55431330532293,968.4030219290797,43.78344257508078,August
Assam,Mustard,25.91794355029105,841.5086331709887,41.3827105210395,September
Assam,Mustard,27.356010269214636,939.1552084149222,39.68195050445377,October
Assam,Mustard,26.290536390503174,1026.2324909098475,42.16797115471364,November
Assam,Mustard,25.576561101390848,944.9856652598507,43.63131207471962,December
Assam,Potato,23.946973497978952,1314.8582573274207,77.65809392219286,January
Assam,Potato,21.791938672755766,1235.2159167295467,78.57604076187822,February
Assam,Potato,23.94050939514648,1268.2920466037122,84.8074555676346,March
Assam,Potato,24.4400413205841,1355.96182948729,82.24182224759589,April
Assam,Potato,22.12034215780451,1324.7773393089838,79.35031251658212,May
Assam,Potato,23.749988334328236,1365.0614612631362,75.66845760597074,June
Assam,Potato,23.652289359989027,1378.304956772713,82.78702728316414,July
Assam,Potato,22.88730608862169,1326.0560009653802,79.88747065328853,August
Assam,Potato,22.13118592451189,1215.9164356688716,83.37677319083818,September
Assam,Potato,23.60262849869907,1275.7290839485138,79.78947926394575,October
Assam,Potato,24.105472823880106,1294.3469225683396,75.7824795359141,November
Assam,Potato,24.98175475997005,1364.9751858576074,82.64875732067607,December
Assam,Wheat Atta,30.772175362129282,1309.1168102543743,80.37282993092494,January
Assam,Wheat Atta,30.37790973172318,1398.7388917478418,83.70905019277768,February
Assam,Wheat Atta,33.389158356603275,1388.7006764448222,85.49008438602284,March
Assam,Wheat Atta,29.597905254285358,1350.350721701094,83.60208388496119,April
Assam,Wheat Atta,30.723788952320398,1288.3522721265563,77.11511361854528,May
Assam,Wheat Atta,29.71730541345727,1271.3215411796125,79.7923278136648,June
Assam,Wheat Atta,31.50592024477512,1396.6144436135894,77.83513761385687,July
Assam,Wheat Atta,33.518567873569936,1396.4615054906226,84.45117332175701,August
Assam,Wheat Atta,32.949434254338136,1313.301701204332,77.43141257724446,September
Assam,Wheat Atta,31.772405747542567,1344.4161723884029,80.25353865704867,October
Assam,Wheat Atta,29.56668643028133,1427.2542175569008,83.8911055785813,November
Assam,Wheat Atta,33.510849948747115,1373.0840334122322,81.05535752440588,December
Assam,Maida Atta,18.249432260321214,1363.3512777511162,84.99683582996245,January
Assam,Maida Atta,19.702619310430652,1299.9217009174208,84.04387185530048,February
Assam,Maida Atta,18.656959529111017,1405.085592394019,84.55637523843473,March
Assam,Maida Atta,17.241504867045297,1313.0350066474605,89.47094989186446,April
Assam,Maida Atta,19.566745282589252,1296.0678939843956,84.82400379859396,May
Assam,Maida Atta,19.357175451373468,1234.7802852266282,82.88167574366437,June
Assam,Maida Atta,18.899162390145932,1233.0189587876882,83.14297415362097,July
Assam,Maida Atta,19.20308753573223,1248.6204425811782,90.60213071717013,August
Assam,Maida Atta,19.878404525481585,1386.599487731495,90.2386675776337,September
Assam,Maida Atta,20.778309408544853,1362.0492350952309,84.86838660893322,October
Assam,Maida Atta,19.022048193111807,1326.5853343634685,89.34179041418683,November
Assam,Maida Atta,20.79049875111726,1243.11001993895,85.99601253931793,December
Assam,Green Chilli,31.041030171689528,1052.3138289266672,42.03513567516355,January
Assam,Green Chilli,31.66781451908627,966.1007812517502,45.833082163456154,February
Assam,Green Chilli,30.56108446373871,929.0705162371182,47.78427683339014,March
Assam,Green Chilli,28.058157958238084,995.7108346890146,46.09512082883536,April
Assam,Green Chilli,27.949996000412455,979.2291565330186,45.7010282438153,May
Assam,Green Chilli,30.50586952510977,895.4378296685818,49.516188671078325,June
Assam,Green Chilli,29.933950523754852,999.8488418803308,49.982311656423946,July
